old_id,old_v3_status,new_outcome,old_A_detection_now,old_C_detection_now,old_B_detection_now
3EPOCH-001,KNOWN_OBJECT,NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,STATIONARY,STATIONARY
3EPOCH-002,KNOWN_OBJECT,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-003,KNOWN_OBJECT,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-004,UNCERTAIN,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-005,KNOWN_OBJECT,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-006,UNCERTAIN,NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,NOT_IN_NEW_SOURCE_LIST,STATIONARY
3EPOCH-007,KNOWN_OBJECT,NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,STATIONARY,NOT_IN_NEW_SOURCE_LIST
3EPOCH-008,UNCERTAIN,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-009,UNCERTAIN,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-010,(failed validation),NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,STATIONARY,STATIONARY
3EPOCH-011,UNCERTAIN,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-012,KNOWN_OBJECT,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-013,UNCERTAIN,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-014,UNCERTAIN,NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,STATIONARY,NOT_IN_NEW_SOURCE_LIST
3EPOCH-015,KNOWN_OBJECT,NOT_FORMED_BY_NEW_LINKER,STATIONARY,NOT_IN_NEW_SOURCE_LIST,STATIONARY
3EPOCH-016,KNOWN_OBJECT,NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,STATIONARY,STATIONARY
3EPOCH-017,KNOWN_OBJECT,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-018,UNCERTAIN,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-019,UNCERTAIN,NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,STATIONARY,STATIONARY
3EPOCH-020,KNOWN_OBJECT,NOT_FORMED_BY_NEW_LINKER,NOT_IN_NEW_SOURCE_LIST,STATIONARY,STATIONARY
3EPOCH-021,KNOWN_OBJECT,NOT_FORMED_BY_NEW_LINKER,STATIONARY,STATIONARY,STATIONARY
3EPOCH-022,UNCERTAIN,STATIONARY_SOURCE,STATIONARY,STATIONARY,STATIONARY
3EPOCH-023,KNOWN_OBJECT,NOT_FORMED_BY_NEW_LINKER,BLEND_FRAGMENT,STATIONARY,STATIONARY
