source_a,source_b,ra_a,dec_a,ra_b,dec_b,separation_arcsec,flux_a,flux_b,brightness_change_percent
5,26,156.64378299858427,-41.01036858928792,156.64359486320396,-41.009917287861164,1.7031738257230284,12.127846833685911,9.40989605634202,-22.41082703810704
6,18,156.9784750755077,-41.15593087004748,156.97823489199487,-41.15556344225302,1.4742701750579192,2.2277749574895354,1.3490328695208977,-39.444831939348404
13,22,155.1154880927658,-40.33375430346032,155.11528965159118,-40.33369528799748,0.5845451525388188,8.375231860667277,8.50559490809527,1.556530608307323
14,23,155.25798698189155,-40.39898376213843,155.25810831380787,-40.398935103690036,0.37594525506337806,4.793556991576288,3.996336279090728,-16.63108864433061
15,24,155.27311240610652,-40.403857528815905,155.27257094640896,-40.40355044020224,1.8508022631739383,18.872106875881066,20.73776027408244,9.885771686603348
18,35,156.6595459004914,-41.01897969378177,156.6601998368892,-41.01892628136259,1.7865821003205782,3.34591415479141,2.844425551140619,-14.988089366627952
19,27,156.83641906279885,-41.09652111758532,156.83805752102046,-41.096542382665994,4.445749562247038,2.0843199944658726,0.43839248297373407,-78.96712193244223
24,31,154.89938668248524,-40.23795334090825,154.89958951958042,-40.23825742373584,1.228446927109055,14.014568850591925,15.20928920356029,8.524845578234862
26,32,155.16902998018233,-40.358440726873994,155.16896376982544,-40.35898422534575,1.965006691622184,2.222071456582351,0.9464779870851808,-57.40560078383312
39,40,155.7879424367171,-40.63769028155523,155.7876948635149,-40.63761566769787,0.7277175832605859,8.288574493439212,8.31891338049365,0.36603262814917165
40,42,156.48590975702996,-40.945184149389846,156.48606620063592,-40.945286744204516,0.5633656391550764,9.73440474120675,7.27801520282642,-25.23410114623833
42,50,157.53065400008697,-41.399896504099104,157.5301675971432,-41.40005243125637,1.4284038486710997,1.676979614747441,1.7692352108263136,5.501295022764287
43,51,157.6652334205095,-41.45809692166752,157.6649539599238,-41.45816411136218,0.7918289362552278,16.195692767532027,14.97649225741931,-7.527930590020106
46,56,157.5776335775199,-41.42227305907531,157.57814975225494,-41.421847072648355,2.072041601940321,13.129644692619577,13.107973901990446,-0.16505237678908424
47,57,157.6851679762373,-41.469107490818004,157.6857710061627,-41.46886973513722,1.8381313976513993,14.20469622840583,12.20862812518081,-14.052170290226856
53,55,156.75466535302806,-41.067491569143826,156.75450415289825,-41.06740223295615,0.5430112691355317,3.616021728305899,3.4033531497694534,-5.881285968822998
55,58,157.81861429808552,-41.525374980779446,157.81867742615358,-41.52562340384995,0.910363569677065,0.43610297553947974,-0.04077522383121479,-109.34990727379787
56,60,154.66000177139864,-40.1398711916176,154.65963392575574,-40.1398760007759,1.012496992880451,2.435370846682198,2.05013570757534,-15.81833582477506
59,62,155.99986222744977,-40.73913302044572,155.99987977426173,-40.73932427551311,0.6901797900755495,12.162293965749388,11.735999886980231,-3.505046662822465
60,63,156.44907349118034,-40.93545863904183,156.448878311635,-40.935384605696484,0.5939659588373765,10.403690322970162,8.635832351479948,-16.992604706687445
62,64,156.8181781082035,-41.09767030824339,156.81849427272155,-41.097866418075526,1.110913507662619,11.985506654460426,12.97662303776044,8.269290668085093
74,68,155.94297568369424,-40.716353075429666,155.94289225936333,-40.716122171918414,0.8618571821286737,0.8303639122334651,0.7588029324898615,-8.61802622793697
76,69,156.64007512306804,-41.0238037968281,156.64036994004144,-41.024276894437634,1.8819841907317632,4.452680725204477,3.7912817269319765,-14.853950666811564
84,76,157.7875397197067,-41.522049030792374,157.78772122102367,-41.52194556673531,0.6148624591335904,0.4675518310925092,-0.40439493287840345,-186.49200066941677
85,75,157.32015341440825,-41.32161222841624,157.31980974760398,-41.32175143344782,1.0556841217559259,1.3082090295972049,0.7973912285887652,-39.04710863872569
86,77,157.94433880020847,-41.588292128856914,157.94362597341328,-41.5887532732198,2.537675834353162,3.0751476452735633,1.8580552294420523,-39.57834082217666
87,81,155.2759409248458,-40.42675786874396,155.27575074090095,-40.426778327590846,0.5263674553298839,3.0945628573015846,2.6593618502938376,-14.063408212274483
93,84,156.40953534747652,-40.931194851965046,156.4097947856807,-40.93142422009774,1.086147328455206,4.7175299254952066,4.892857761531107,3.7165177286606372
94,87,157.72152765161837,-41.498751016338986,157.72144459110996,-41.49845817059219,1.0777699783708614,11.943183274756212,11.215353571616948,-6.094101433389589
95,88,157.76578154490608,-41.5167861320109,157.76602473700282,-41.516929427545996,0.8341702524397397,64.23493717918798,63.52680235193684,-1.1024138239222534
96,89,158.01451238115834,-41.622617586117066,158.01473800133903,-41.62237565387495,1.061708547146992,4.186880361774372,2.6112669590814406,-37.632157275809924
104,98,156.60101915014766,-41.01917389657702,156.60094205411303,-41.019307724789904,0.5253227958308917,9.322826516042268,8.902417462301205,-4.5094591540199
108,100,158.24966939023503,-41.72735115199161,158.24994114342167,-41.727327917996085,0.734909393792077,4.753452403555135,4.616109166983926,-2.889336526615675
109,101,154.71991137788888,-40.18279715182729,154.71992668414742,-40.18253444532923,0.9466798796541865,5.345826478398969,3.101744118275993,-41.978211773066384
112,116,155.35184558635146,-40.47114484365149,155.35219612787662,-40.4707563310927,1.696415731686591,23.267990584790997,22.015887767363292,-5.381224531894626
117,113,157.48662099484204,-41.40611477872505,157.48695218357793,-41.406035722176895,0.9384547337411153,0.6940260016493007,0.29721237019253954,-57.17561453227449
