rank,candidate_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,flux_A,flux_C,flux_B,motion_AC_arcsec,motion_CB_arcsec,rate_AC_arcsec_per_day,rate_CB_arcsec_per_day,position_angle_AC_deg,position_angle_CB_deg,direction_diff_deg,flux_mean,flux_variation,rate_consistency,trajectory_score,rate_consistency_score,c_error_score,flux_consistency_score,validation_score,final_catalogue_status,catalogue_explanation,match_confidence,best_match_catalogue,best_match_object,best_match_separation_arcsec,best_match_epoch,observed_rate_arcsec_per_day,observed_pa_deg,expected_rate_arcsec_per_day,expected_pa_deg,expected_motion_source,joint_p_chance,catalogues_checked,services_succeeded,services_failed,optional_services_unavailable,status_reason,catalogue_notes,A_match_object,A_separation_arcsec,A_chi2,A_sigma_total_arcsec,A_expected_ra,A_expected_dec,A_p_chance,A_n_consistent,A_mag_residual,A_persist_snr_other_epochs,C_match_object,C_separation_arcsec,C_chi2,C_sigma_total_arcsec,C_expected_ra,C_expected_dec,C_p_chance,C_n_consistent,C_mag_residual,C_persist_snr_other_epochs,B_match_object,B_separation_arcsec,B_chi2,B_sigma_total_arcsec,B_expected_ra,B_expected_dec,B_p_chance,B_n_consistent,B_mag_residual,B_persist_snr_other_epochs
1,3EPOCH-001,7502,6121,7285,155.53526111642586,-42.9632336981278,155.520540286242,-42.971889572220135,155.509196136213,-42.97844332704641,87.81823595688711,2.847616133359251,0.7582101547685894,2.8353360376554115,4.719608325157547,3.381280109799789,49.74728133168853,38.07171199378529,2.806253241604137,2.903596480439483,231.210778976695,231.7009879123433,0.4902089356482975,3.645408157537583,0.2171495941824735,0.966474942544147,0.997276617024176,0.966474942544147,0.8104474613078526,0.7828504058175265,90.77850412955728,KNOWN_OBJECT,LINKED_KNOWN_STARS,HIGH,Gaia DR3,"A: Gaia DR3 5416036124850176512, C: Gaia DR3 5416036090490435712, B: Gaia DR3 5416036056130695808",0.5279847902283804,C,2.847616133359251,231.41894676701546,3.631738129956116e-05,,largest Gaia DR3 proper motion among the matched stars,8.167477855814917e-07,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 8.2e-07). The stars' catalogued motions (3.6e-05""/day) cannot produce the observed 2.85""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.","Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 8.2e-07). The stars' catalogued motions (3.6e-05""/day) cannot produce the observed 2.85""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.",Gaia DR3 5416036124850176512,1.7623083911444026,2.6626633870710172,1.0800000505652037,155.53591500651572,-42.963336980901026,0.03641659453393464,1,0.46880232644109476,C:16.4;B:14.0,Gaia DR3 5416036090490435712,0.5279847902283804,0.5530011281547436,0.7100000891546155,155.52062133339794,-42.97175543338897,0.003401365899700304,1,0.8223111231572049,A:26.6;B:40.8,Gaia DR3 5416036056130695808,0.7274958511948186,1.0498910528370125,0.7100000897279736,155.50896012224584,-42.97833834063445,0.0065937925815644505,1,1.182385861633293,A:7.0;C:30.5
2,3EPOCH-004,11354,9750,10961,155.87025563989727,-44.22316218656735,155.87091209247012,-44.23429985352987,155.87088997672618,-44.24294988350937,71.25449792929079,2.310516211888779,1.137468980998853,7.667944283545301,5.885314050437417,7.396133641585837,40.13134461550567,31.140160167971477,2.2638164921277517,2.374951236204019,177.58183602978562,180.1049431919818,2.523107162196169,6.983130658522852,0.1122941359396592,0.9532054627555644,0.985982737987799,0.9532054627555644,0.7156327547502868,0.8877058640603407,90.24241839851344,UNCERTAIN,INSUFFICIENT_OR_AMBIGUOUS,LOW,Gaia DR3,Gaia DR3 5415634906185248512,0.6431791443543798,A,2.310516211888779,178.68441435060217,1.986984615736997e-05,,largest Gaia DR3 proper motion among the matched stars,2.9449629965979703e-06,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"C: chance-coincidence probability 0.079 too high. Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.","C: chance-coincidence probability 0.079 too high. Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.",Gaia DR3 5415634906185248512,0.6431791443543798,1.1883912209780816,0.5900003050055986,155.8703744937534,-44.22300513541844,0.004700267860795471,1,-0.23331751071853812,C:32.5;B:32.1,Gaia DR3 5415633222559688064,2.661145501301179,13.127504960786032,0.7344758579979154,155.87158307406074,-44.23486137396705,0.07929884980048418,1,-2.0969022541199336,A:15.1;B:29.0,Gaia DR3 5415633188198500992,0.8345746502184511,2.0009042103333887,0.5900000386139808,155.87083456356186,-44.243178285695976,0.0079011507095752,1,-0.15464842371439103,A:43.5;C:36.7
3,3EPOCH-003,8245,6719,7773,155.87275501351874,-43.336724313859605,155.8804275832888,-43.32045052731959,155.8860996996873,-43.30885217761553,106.25223291821432,3.445361539850237,0.907403832238336,2.751016560437072,2.081778973547407,1.313675922946158,61.93534030464252,44.31861500925495,3.493783878176384,3.380025951547201,18.932560480910222,19.588925332518667,0.6563648516084299,2.0488238189768797,0.2866300038526406,0.9674399073910204,0.9963535286021754,0.9674399073910204,0.773149041940416,0.7133699961473594,88.64418384155137,KNOWN_OBJECT,LINKED_KNOWN_STARS,HIGH,Gaia DR3,"A: Gaia DR3 5415805674084266752, C: Gaia DR3 5415805708444008448, B: Gaia DR3 5415805811523226368",0.40413632852963666,B,3.445361539850237,19.208526177302254,3.722929133191729e-05,,largest Gaia DR3 proper motion among the matched stars,1.0162109670071278e-06,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 1.0e-06). The stars' catalogued motions (3.7e-05""/day) cannot produce the observed 3.45""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.","Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 1.0e-06). The stars' catalogued motions (3.7e-05""/day) cannot produce the observed 3.45""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.",Gaia DR3 5415805674084266752,1.5445073715698157,2.0451840539169113,1.0800000770429625,155.87216522414832,-43.33673128027045,0.025511878456820902,1,0.8152972950837729,C:19.4;B:21.3,Gaia DR3 5415805708444008448,1.1531953465861027,1.1401398250106696,1.0800001687152405,155.88082287471923,-43.320309435244035,0.017938028826211982,1,0.4033763154330495,A:14.4;B:12.6,Gaia DR3 5415805811523226368,0.40413632852963666,0.14002585166079723,1.0800000616958165,155.88594833072045,-43.30887386064108,0.0022205815278206753,1,1.1917560901967446,A:5.3;C:3.3
4,3EPOCH-002,6846,5439,6625,154.58258160930131,-42.33310069876902,154.56274671125126,-42.337466113123774,154.54799304090884,-42.3410598516556,96.40043826974942,3.125904776937307,0.765644564525193,3.021092257350276,1.2741087665200672,1.57043854560385,55.07404840068883,41.33642768703626,3.1067371465432867,3.152584941954071,253.41342869120555,251.7561444303815,1.657284260824042,1.9552131898247316,0.390411449841911,0.9854570784753016,0.9907928652176442,0.9854570784753016,0.8085888588687018,0.609588550158089,87.65104649132418,KNOWN_OBJECT,LINKED_KNOWN_STARS,HIGH,Gaia DR3,"A: Gaia DR3 5416104706886845952, C: Gaia DR3 5416104736947534592, B: Gaia DR3 5416104569447889408",1.0485782859666983,B,3.125904776937307,252.69714143538377,3.597095136952377e-05,,largest Gaia DR3 proper motion among the matched stars,7.459400559155217e-06,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 7.5e-06). The stars' catalogued motions (3.6e-05""/day) cannot produce the observed 3.13""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.","Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 7.5e-06). The stars' catalogued motions (3.6e-05""/day) cannot produce the observed 3.13""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.",Gaia DR3 5416104706886845952,1.454223235010597,4.195129349638232,0.7100000859635436,154.58279402854052,-42.33347287921813,0.024943338828138928,1,0.3064145603466206,C:30.6;B:30.3,Gaia DR3 5416104736947534592,1.6457656806162482,2.3221373352492676,1.0800007352059542,154.56325958033665,-42.33721063497802,0.02525628574631622,1,-0.8933381262509597,A:7.2;B:9.0,Gaia DR3 5416104569447889408,1.0485782859666983,0.9426579397695325,1.0800000986442748,154.54836297203877,-42.34095948774031,0.01184076767848563,1,0.8662161554734917,A:8.2;C:11.2
5,3EPOCH-005,4680,3207,4353,153.78713081959637,-41.282016748846885,153.8095774655685,-41.28113459731972,153.82526469187323,-41.28053594687157,103.30224194620033,3.3497043930897927,1.427795515644398,2.527021908244257,3.6173643612307,2.3727908422559434,60.80822718707775,42.49405222721354,3.4302032209997297,3.2408729217821857,87.01373696800411,87.09809706853187,0.0843601005277605,2.8390590372436333,0.1951122256939579,0.9448049322388647,0.9995313327748456,0.9448049322388647,0.6430511210889005,0.8048877743060421,87.28886585831017,KNOWN_OBJECT,LINKED_KNOWN_STARS,HIGH,Gaia DR3,"A: Gaia DR3 5416976860125656576, C: Gaia DR3 5416976688327112192, B: Gaia DR3 5416976722686852096",0.40450386510499425,B,3.3497043930897927,87.05453097473263,3.460730095729747e-05,,largest Gaia DR3 proper motion among the matched stars,1.0405589641541817e-07,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 1.0e-07). The stars' catalogued motions (3.5e-05""/day) cannot produce the observed 3.35""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.","Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 1.0e-07). The stars' catalogued motions (3.5e-05""/day) cannot produce the observed 3.35""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.",Gaia DR3 5416976860125656576,0.539651298311242,0.24967717581059284,1.0800001222013722,153.7869366717729,-41.28205117516323,0.0024239202475865307,1,0.7250314432734872,C:22.4;B:23.0,Gaia DR3 5416976688327112192,2.029877912837707,8.173779571501655,0.7100001773992816,153.81005290534074,-41.281570809795234,0.03375388795161238,1,0.8565100719427683,A:nan;B:44.3,Gaia DR3 5416976722686852096,0.40450386510499425,0.14028063842501043,1.0800001327561863,153.825331876053,-41.280435566565394,0.001271816819265692,1,0.8616168892405246,A:29.0;C:28.8
6,3EPOCH-006,7842,6455,7602,155.31832452955058,-42.97462771182811,155.3024299953377,-42.98253708341632,155.29156369933588,-42.98759376116567,84.53507794224042,2.741155628556291,2.1240364441938784,2.51145255751361,2.643245692125859,4.408677089521836,50.62859297411406,33.91597089828456,2.8559681925967397,2.586652624053845,235.7723486542631,237.53434140912984,1.761992754866725,3.187791779720435,0.2713387116429149,0.9057007815279542,0.9902111513618516,0.9057007815279542,0.4689908889515304,0.7286612883570851,80.83040153286649,UNCERTAIN,INSUFFICIENT_OR_AMBIGUOUS,LOW,Gaia DR3,Gaia DR3 5416014959251127168,0.030076579059666143,B,2.741155628556291,236.47483141235554,5.459298316622021e-05,,largest Gaia DR3 proper motion among the matched stars,9.104493540769542e-08,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"A: nearest Gaia star 5.95"" away (chi2 30.3) - not consistent. Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.","A: nearest Gaia star 5.95"" away (chi2 30.3) - not consistent. Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.",Gaia DR3 5416016264921191808,5.9496499864628225,30.3483109546088,1.0800009925491583,155.31697020129752,-42.973305045844036,0.2911777426928369,0,-1.3406260363253446,C:13.0;B:9.8,Gaia DR3 5416014959251130240,1.666189043566289,2.380115275028449,1.0800037875680704,155.3021903673052,-42.98210873700985,0.02962758440288915,1,0.7890913606273748,A:13.3;B:15.3,Gaia DR3 5416014959251127168,0.030076579059666143,0.001794486065060906,0.7100000716338081,155.2915643715632,-42.9875854210442,1.0553618069342185e-05,1,0.6342065744843808,A:12.9;C:14.2
7,3EPOCH-008,8578,7160,8292,156.20032299474047,-43.586015959345566,156.20732170147673,-43.60227009314847,156.21330566376477,-43.61319739160443,103.54134875164034,3.3574577303021376,2.568768147440869,2.215430513977944,3.12185085552366,3.699864994930736,61.294077357047726,42.31792383378233,3.457610117978112,3.227440224472545,162.68261830611067,158.3728938958605,4.309724410250169,3.012382121477447,0.2028100411107909,0.9334309289793028,0.9760570866097212,0.9334309289793028,0.3578079631397828,0.7971899588892091,80.38459890825055,UNCERTAIN,INSUFFICIENT_OR_AMBIGUOUS,LOW,Gaia DR3,Gaia DR3 5415749598991774208,0.38236490035597415,A,3.3574577303021376,160.92456142107997,6.35690967002081e-05,,largest Gaia DR3 proper motion among the matched stars,7.195086486801355e-08,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"B: 2 Gaia stars are positionally consistent (ambiguous). Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.","B: 2 Gaia stars are positionally consistent (ambiguous). Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.",Gaia DR3 5415749598991774208,0.38236490035597415,0.12534536907615446,1.08000029006448,156.20024238299686,-43.5859272370008,0.0013798524544027524,1,-0.3136607625442124,C:18.1;B:17.5,Gaia DR3 5415749152315172224,0.6854242039960861,0.9319683624974461,0.7100008220433162,156.2074667001845,-43.602428918567064,0.004427230665146609,1,-0.14695339116591088,A:25.3;B:27.3,Gaia DR3 5415749152315170304,1.0736706885527099,2.286785502974232,0.7100000540176213,156.21289451203506,-43.61321570359838,0.011777991004307542,2,0.36273210594741423,A:28.5;C:33.0
8,3EPOCH-007,11321,9603,10720,153.02083978678817,-42.949156703104535,153.03544118320826,-42.93626993330314,153.0477975161164,-42.92635696375952,108.557870022448,3.5201247065678047,2.486630766083694,10.913546208525227,11.483967747622517,6.453002199202611,60.27371131106101,48.31438607910629,3.400051082639449,3.684769452888989,39.67847054937084,42.38895132802443,2.71048077865359,9.61683871845012,0.2338874465196214,0.922731021875382,0.9849417734519244,0.922731021875382,0.3783423084790764,0.7661125534803785,80.1192810990083,KNOWN_OBJECT,LINKED_KNOWN_STARS,HIGH,Gaia DR3,"A: Gaia DR3 5415288834901987712, C: Gaia DR3 5415288869262300800, B: Gaia DR3 5415277217009577216",0.2868171217486873,A,3.5201247065678047,40.88885002865304,9.356128637505543e-05,,largest Gaia DR3 proper motion among the matched stars,4.3225280068682376e-08,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 4.3e-08). The stars' catalogued motions (9.4e-05""/day) cannot produce the observed 3.52""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.","Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 4.3e-08). The stars' catalogued motions (9.4e-05""/day) cannot produce the observed 3.52""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.",Gaia DR3 5415288834901987712,0.2868171217486873,0.23632288158630269,0.5900002375663715,153.02074297640988,-42.94919312055043,0.0008223023372588845,1,0.568246171702985,C:54.7;B:45.4,Gaia DR3 5415288869262300800,0.8458854939764011,2.0555022921608774,0.5900007920111264,153.0352359909818,-42.936450606960705,0.007721525913683136,1,0.3853629944276391,A:40.3;B:48.3,Gaia DR3 5415277217009577216,0.8264999383107039,1.9623727357961807,0.5900000858079751,153.04769870669978,-42.92657484864489,0.006807743088268703,1,0.04066815292534409,A:8.6;C:10.2
9,3EPOCH-012,11691,9982,11120,155.59239947543267,-44.19580680556235,155.61795832570888,-44.19367676043392,155.6350143596353,-44.19152817971182,111.0688784258896,3.60154729451584,2.988046767140156,2.5238537059976287,3.125752136989883,2.8535400531990867,66.41433180851378,44.69939069353688,3.746444608378935,3.40906638284954,83.37878233566815,80.04118578507571,3.3375965505924228,2.834381965395533,0.0868256799778441,0.9099470936324944,0.9814577969411532,0.9099470936324944,0.252988308214961,0.9131743200221558,80.06539928195177,KNOWN_OBJECT,LINKED_KNOWN_STARS,HIGH,Gaia DR3,"A: Gaia DR3 5415660779070075648, C: Gaia DR3 5415660675988834304, B: Gaia DR3 5415660710348574208",0.43312664227593645,A,3.60154729451584,82.04337189846717,2.5318957411048726e-05,,largest Gaia DR3 proper motion among the matched stars,5.424327808165162e-08,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 5.4e-08). The stars' catalogued motions (2.5e-05""/day) cannot produce the observed 3.60""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.","Each epoch's detection coincides with a different Gaia DR3 star at its proper-motion-propagated position (all chi2 <= 13.816, unique, brightness consistent; joint chance probability 5.4e-08). The stars' catalogued motions (2.5e-05""/day) cannot produce the observed 3.60""/day, and 3/3 of these sources are still present at the same position in the other epochs. The apparent motion is explained by linking three unrelated known stars, not by a moving object.",Gaia DR3 5415660779070075648,0.43312664227593645,0.16083561646770841,1.0800000725415466,155.59243878713067,-44.19568984055558,0.002134259837883734,1,0.3511547042523906,C:7.3;B:9.3,Gaia DR3 5415660675988834304,0.912615932762113,1.6521866497678888,0.7100002346796788,155.61831018823648,-44.1937016359828,0.008294091054227848,1,0.00834677731879907,A:14.7;B:19.1,Gaia DR3 5415660710348574208,0.5464474872014835,0.2560055160411799,1.0800000404331256,155.63516118294444,-44.19141882800952,0.0030642898068928837,1,0.6942927362497295,A:14.4;C:15.9
10,3EPOCH-009,12933,11041,12257,152.8276332817303,-43.27938326175982,152.83447775777682,-43.26315234662986,152.83827856091713,-43.25200468491431,102.4372733454302,3.3216567044114256,2.6006709036924724,9.60956099203889,7.753460756964716,5.574129674745171,61.12357301398736,41.35026875634714,3.447991936790873,3.1536405519603434,17.071043707876374,13.946251216608482,3.124792491267897,7.645717141249594,0.2157048934995147,0.9146310692639006,0.9826400417151784,0.9146310692639006,0.3498322740768819,0.7842951065004853,79.60068094091972,UNCERTAIN,INSUFFICIENT_OR_AMBIGUOUS,LOW,Gaia DR3,Gaia DR3 5415255402876092416,0.379979422927757,A,3.3216567044114256,15.812091446200714,4.314653600928921e-05,,largest Gaia DR3 proper motion among the matched stars,4.3889398897411017e-07,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,Gaia DR3;JPL Small-Body Identification (sb_ident);JPL Horizons (planets);SIMBAD,,SkyBoT (IMCCE);MPC Checker,"C: 2 Gaia stars are positionally consistent (ambiguous). Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.","C: 2 Gaia stars are positionally consistent (ambiguous). Supporting evidence: the source at each epoch's position is still present at that same position in the other two epochs (forced photometry), as expected for static sources, but the catalogue identification is not secure enough for KNOWN_OBJECT.",Gaia DR3 5415255402876092416,0.379979422927757,0.41477650686956935,0.5900013480947159,152.82777091349817,-43.279350080411284,0.001522896367518789,1,-0.13155866928007498,C:44.9;B:39.6,Gaia DR3 5415255505955208320,1.4105342115834867,5.7156161527537455,0.5900001155433644,152.8349268190528,-43.263368175743636,0.021864178500083153,2,0.620876955354916,A:48.7;B:49.5,Gaia DR3 5415255540314948736,1.0190358213427593,2.059975911665986,0.7100000506326457,152.83789435375525,-43.25196204965967,0.013181235452640383,1,-0.1140689333435716,A:4.2;C:17.8
