rank,candidate_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,flux_A,flux_C,flux_B,motion_AC_arcsec,motion_CB_arcsec,rate_AC_arcsec_per_day,rate_CB_arcsec_per_day,position_angle_AC_deg,position_angle_CB_deg,direction_diff_deg,flux_mean,flux_variation,rate_consistency,trajectory_score,rate_consistency_score,c_error_score,flux_consistency_score,validation_score
1,3EPOCH-001,7502,6121,7285,155.53526111642586,-42.9632336981278,155.520540286242,-42.971889572220135,155.509196136213,-42.97844332704641,87.81823595688711,2.847616133359251,0.7582101547685894,2.8353360376554115,4.719608325157547,3.381280109799789,49.747281331688534,38.07171199378529,2.806253241604137,2.903596480439483,231.210778976695,231.7009879123433,0.4902089356482975,3.6454081575375827,0.2171495941824735,0.966474942544147,0.9972766170241761,0.966474942544147,0.8104474613078526,0.7828504058175265,90.77850412955728
2,3EPOCH-004,11354,9750,10961,155.87025563989727,-44.22316218656735,155.87091209247012,-44.23429985352987,155.87088997672618,-44.24294988350937,71.25449792929079,2.310516211888779,1.137468980998853,7.667944283545301,5.885314050437417,7.396133641585837,40.13134461550567,31.140160167971473,2.2638164921277513,2.374951236204019,177.58183602978562,180.1049431919818,2.523107162196169,6.983130658522852,0.11229413593965927,0.9532054627555643,0.985982737987799,0.9532054627555643,0.7156327547502868,0.8877058640603407,90.24241839851345
3,3EPOCH-003,8245,6719,7773,155.87275501351874,-43.336724313859605,155.8804275832888,-43.32045052731959,155.8860996996873,-43.30885217761553,106.25223291821432,3.445361539850237,0.907403832238336,2.751016560437072,2.081778973547407,1.313675922946158,61.935340304642516,44.31861500925495,3.493783878176384,3.380025951547201,18.932560480910222,19.588925332518667,0.6563648516084299,2.0488238189768793,0.2866300038526406,0.9674399073910203,0.9963535286021754,0.9674399073910203,0.773149041940416,0.7133699961473594,88.64418384155137
4,3EPOCH-002,6846,5439,6625,154.58258160930131,-42.33310069876902,154.56274671125126,-42.337466113123774,154.54799304090884,-42.3410598516556,96.40043826974942,3.125904776937307,0.765644564525193,3.021092257350276,1.2741087665200672,1.57043854560385,55.07404840068883,41.33642768703626,3.1067371465432867,3.152584941954071,253.41342869120555,251.7561444303815,1.6572842608240421,1.9552131898247314,0.390411449841911,0.9854570784753015,0.9907928652176442,0.9854570784753015,0.8085888588687018,0.609588550158089,87.65104649132418
5,3EPOCH-005,4680,3207,4353,153.78713081959637,-41.282016748846885,153.8095774655685,-41.28113459731972,153.82526469187323,-41.28053594687157,103.30224194620033,3.3497043930897927,1.427795515644398,2.527021908244257,3.6173643612307,2.3727908422559434,60.80822718707775,42.494052227213544,3.4302032209997297,3.2408729217821857,87.01373696800411,87.09809706853187,0.08436010052776055,2.8390590372436333,0.1951122256939579,0.9448049322388649,0.9995313327748457,0.9448049322388649,0.6430511210889005,0.8048877743060421,87.28886585831017
6,3EPOCH-006,7842,6455,7602,155.31832452955058,-42.97462771182811,155.3024299953377,-42.98253708341632,155.29156369933588,-42.98759376116567,84.53507794224042,2.741155628556291,2.1240364441938784,2.51145255751361,2.643245692125859,4.408677089521836,50.62859297411406,33.91597089828456,2.8559681925967393,2.5866526240538454,235.7723486542631,237.53434140912984,1.761992754866725,3.187791779720435,0.27133871164291495,0.9057007815279542,0.9902111513618516,0.9057007815279542,0.4689908889515304,0.7286612883570851,80.83040153286649
7,3EPOCH-008,8578,7160,8292,156.20032299474047,-43.586015959345566,156.20732170147673,-43.60227009314847,156.21330566376477,-43.61319739160443,103.54134875164034,3.3574577303021376,2.568768147440869,2.215430513977944,3.12185085552366,3.699864994930736,61.294077357047726,42.31792383378233,3.4576101179781116,3.227440224472545,162.68261830611067,158.3728938958605,4.309724410250169,3.012382121477447,0.20281004111079096,0.9334309289793027,0.9760570866097212,0.9334309289793027,0.3578079631397828,0.7971899588892091,80.38459890825055
8,3EPOCH-007,11321,9603,10720,153.02083978678817,-42.949156703104535,153.03544118320826,-42.93626993330314,153.0477975161164,-42.92635696375952,108.557870022448,3.5201247065678047,2.486630766083694,10.913546208525227,11.483967747622517,6.453002199202611,60.27371131106101,48.31438607910629,3.4000510826394494,3.684769452888989,39.67847054937084,42.38895132802443,2.71048077865359,9.616838718450119,0.23388744651962146,0.922731021875382,0.9849417734519245,0.922731021875382,0.37834230847907646,0.7661125534803785,80.1192810990083
9,3EPOCH-012,11691,9982,11120,155.59239947543267,-44.19580680556235,155.61795832570888,-44.19367676043392,155.6350143596353,-44.19152817971182,111.0688784258896,3.60154729451584,2.988046767140156,2.5238537059976287,3.125752136989883,2.8535400531990867,66.41433180851378,44.699390693536884,3.7464446083789347,3.4090663828495402,83.37878233566815,80.04118578507571,3.3375965505924228,2.834381965395533,0.08682567997784416,0.9099470936324944,0.9814577969411532,0.9099470936324944,0.252988308214961,0.9131743200221558,80.06539928195177
10,3EPOCH-009,12933,11041,12257,152.8276332817303,-43.27938326175982,152.83447775777682,-43.26315234662986,152.83827856091713,-43.25200468491431,102.4372733454302,3.3216567044114256,2.6006709036924724,9.60956099203889,7.753460756964716,5.574129674745171,61.12357301398736,41.35026875634714,3.447991936790873,3.1536405519603434,17.071043707876374,13.946251216608482,3.124792491267897,7.645717141249594,0.21570489349951477,0.9146310692639006,0.9826400417151784,0.9146310692639006,0.3498322740768819,0.7842951065004853,79.60068094091972
