final_rank,candidate_id,final_priority_score,validation_score,catalog_confidence_score,solar_system_score,trajectory_score,rate_consistency_score,c_error_score,flux_consistency_score,direction_diff_deg,rate_AC_arcsec_per_day,rate_CB_arcsec_per_day,C_prediction_error_arcsec,flux_variation,match_status,angular_separation_arcsec,matched_epoch,solar_system_checked,solar_system_match,reason
1,3EPOCH-002,77.20643097343265,87.65104649132418,29.253492147528643,100.0,0.9907928652176442,0.9854570784753016,0.8085888588687018,0.609588550158089,1.657284260824042,3.1067371465432867,3.152584941954071,0.765644564525193,0.390411449841911,Known,1.1701396859011457,B,True,Unmatched,"direction change=1.7 deg; rate A-C=3.11, C-B=3.15 arcsec/day; C pred. err=0.77 arcsec; flux CV=0.39; nearest Gaia/SIMBAD coincidence 1.17 arcsec at epoch B (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
2,3EPOCH-004,76.49205744948672,90.24241839851344,16.61182285263663,100.0,0.985982737987799,0.9532054627555644,0.7156327547502868,0.8877058640603407,2.523107162196169,2.2638164921277517,2.374951236204019,1.137468980998853,0.1122941359396592,Known,0.6644729141054653,A,True,Unmatched,"direction change=2.5 deg; rate A-C=2.26, C-B=2.37 arcsec/day; C pred. err=1.14 arcsec; flux CV=0.11; nearest Gaia/SIMBAD coincidence 0.66 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
3,3EPOCH-001,75.94418510762387,90.77850412955728,11.996161084668861,100.0,0.997276617024176,0.966474942544147,0.8104474613078526,0.7828504058175265,0.4902089356482975,2.806253241604137,2.903596480439483,0.7582101547685894,0.2171495941824735,Known,0.4798464433867545,C,True,Unmatched,"direction change=0.5 deg; rate A-C=2.81, C-B=2.90 arcsec/day; C pred. err=0.76 arcsec; flux CV=0.22; nearest Gaia/SIMBAD coincidence 0.48 arcsec at epoch C (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
4,3EPOCH-003,73.90368260065287,88.64418384155137,9.263769557834607,100.0,0.9963535286021754,0.9674399073910204,0.773149041940416,0.7133699961473594,0.6563648516084299,3.493783878176384,3.380025951547201,0.907403832238336,0.2866300038526406,Known,0.3705507823133843,B,True,Unmatched,"direction change=0.7 deg; rate A-C=3.49, C-B=3.38 arcsec/day; C pred. err=0.91 arcsec; flux CV=0.29; nearest Gaia/SIMBAD coincidence 0.37 arcsec at epoch B (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
5,3EPOCH-005,73.21090144146042,87.28886585831017,10.543476703216514,100.0,0.9995313327748456,0.9448049322388647,0.6430511210889005,0.8048877743060421,0.0843601005277605,3.4302032209997297,3.2408729217821857,1.427795515644398,0.1951122256939579,Known,0.4217390681286606,B,True,Unmatched,"direction change=0.1 deg; rate A-C=3.43, C-B=3.24 arcsec/day; C pred. err=1.43 arcsec; flux CV=0.20; nearest Gaia/SIMBAD coincidence 0.42 arcsec at epoch B (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
6,3EPOCH-013,72.13767361255623,77.09719267730469,40.84819369221474,100.0,0.9708514838531512,0.9155143440045478,0.1982955393845524,0.8270153526941337,5.246732906432754,3.4960411818694404,3.2006758492320846,3.20681784246179,0.1729846473058663,Known,1.6339277476885898,A,True,Unmatched,"direction change=5.2 deg; rate A-C=3.50, C-B=3.20 arcsec/day; C pred. err=3.21 arcsec; flux CV=0.17; nearest Gaia/SIMBAD coincidence 1.63 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
7,3EPOCH-019,68.29397628744985,75.32894439817342,27.818576043642263,100.0,0.9964891872833792,0.8745431292402044,0.1049686069102204,0.8549301382130754,0.6319462889917702,3.3015056705757004,3.775120471695913,3.580125572359118,0.1450698617869246,Known,1.1127430417456905,C,True,Unmatched,"direction change=0.6 deg; rate A-C=3.30, C-B=3.78 arcsec/day; C pred. err=3.58 arcsec; flux CV=0.15; nearest Gaia/SIMBAD coincidence 1.11 arcsec at epoch C (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
8,3EPOCH-012,68.210723467719,80.06539928195177,10.824719851763858,100.0,0.9814577969411532,0.9099470936324944,0.252988308214961,0.9131743200221558,3.3375965505924228,3.746444608378935,3.40906638284954,2.988046767140156,0.0868256799778441,Known,0.4329887940705543,A,True,Unmatched,"direction change=3.3 deg; rate A-C=3.75, C-B=3.41 arcsec/day; C pred. err=2.99 arcsec; flux CV=0.09; nearest Gaia/SIMBAD coincidence 0.43 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
9,3EPOCH-009,67.90531546680322,79.60068094091972,10.924194040797076,100.0,0.9826400417151784,0.9146310692639006,0.3498322740768819,0.7842951065004853,3.124792491267897,3.447991936790873,3.1536405519603434,2.6006709036924724,0.2157048934995147,Known,0.436967761631883,A,True,Unmatched,"direction change=3.1 deg; rate A-C=3.45, C-B=3.15 arcsec/day; C pred. err=2.60 arcsec; flux CV=0.22; nearest Gaia/SIMBAD coincidence 0.44 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
10,3EPOCH-015,67.65637985848826,76.77847822647158,19.557225499790775,100.0,0.9342320712504992,0.9364182864991272,0.1657125425159435,0.8672358321831959,11.838227174910116,1.979565126788246,2.113975298569835,3.3371498299362257,0.132764167816804,Known,0.782289019991631,B,True,Unmatched,"direction change=11.8 deg; rate A-C=1.98, C-B=2.11 arcsec/day; C pred. err=3.34 arcsec; flux CV=0.13; nearest Gaia/SIMBAD coincidence 0.78 arcsec at epoch B (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
11,3EPOCH-008,67.63349466079731,80.38459890825055,6.821377125109684,100.0,0.9760570866097212,0.9334309289793028,0.3578079631397828,0.7971899588892091,4.309724410250169,3.457610117978112,3.227440224472545,2.568768147440869,0.2028100411107909,Known,0.2728550850043874,A,True,Unmatched,"direction change=4.3 deg; rate A-C=3.46, C-B=3.23 arcsec/day; C pred. err=2.57 arcsec; flux CV=0.20; nearest Gaia/SIMBAD coincidence 0.27 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
12,3EPOCH-007,67.2925354286522,80.1192810990083,6.0451932967319975,100.0,0.9849417734519244,0.922731021875382,0.3783423084790764,0.7661125534803785,2.71048077865359,3.400051082639449,3.684769452888989,2.486630766083694,0.2338874465196214,Known,0.2418077318692799,A,True,Unmatched,"direction change=2.7 deg; rate A-C=3.40, C-B=3.68 arcsec/day; C pred. err=2.49 arcsec; flux CV=0.23; nearest Gaia/SIMBAD coincidence 0.24 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
13,3EPOCH-006,66.98157590519166,80.83040153286649,2.0014741609256403,100.0,0.9902111513618516,0.9057007815279542,0.4689908889515304,0.7286612883570851,1.761992754866725,2.8559681925967397,2.586652624053845,2.1240364441938784,0.2713387116429149,Known,0.0800589664370256,B,True,Unmatched,"direction change=1.8 deg; rate A-C=2.86, C-B=2.59 arcsec/day; C pred. err=2.12 arcsec; flux CV=0.27; nearest Gaia/SIMBAD coincidence 0.08 arcsec at epoch B (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
14,3EPOCH-020,66.20235022481003,77.44740788476265,9.945823527380927,100.0,0.9475397760137924,0.99568242378321,0.0759416415098094,0.8815954530328188,9.442840317517351,2.971246246673146,2.9841304573636585,3.6962334339607614,0.1184045469671812,Known,0.3978329410952371,B,True,Unmatched,"direction change=9.4 deg; rate A-C=2.97, C-B=2.98 arcsec/day; C pred. err=3.70 arcsec; flux CV=0.12; nearest Gaia/SIMBAD coincidence 0.40 arcsec at epoch B (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
15,3EPOCH-011,65.4699142930034,76.63165506836268,9.138778725747677,100.0,0.9825749233537702,0.9011461917236462,0.3122883684820993,0.6937127123199105,3.136513796321367,2.944953275192233,3.2680083456373965,2.750846526071603,0.3062872876800895,Known,0.3655511490299071,C,True,Unmatched,"direction change=3.1 deg; rate A-C=2.94, C-B=3.27 arcsec/day; C pred. err=2.75 arcsec; flux CV=0.31; nearest Gaia/SIMBAD coincidence 0.37 arcsec at epoch C (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
16,3EPOCH-021,64.6161291703217,74.406751738965,12.657014765231017,100.0,0.9763015424253196,0.8887551790372425,0.0647697820823415,0.8579827226720651,4.265722363442478,3.771454788375601,3.351899975673623,3.740920871670634,0.1420172773279349,Known,0.5062805906092407,A,True,Unmatched,"direction change=4.3 deg; rate A-C=3.77, C-B=3.35 arcsec/day; C pred. err=3.74 arcsec; flux CV=0.14; nearest Gaia/SIMBAD coincidence 0.51 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
17,3EPOCH-017,64.03645241981737,73.21016263713814,13.94669286910335,100.0,0.9582075155423352,0.9427811578479296,0.1233663198716572,0.6856588018998526,7.522647202379687,3.140835069206894,3.331457192437346,3.506534720513371,0.3143411981001474,Known,0.557867714764134,A,True,Unmatched,"direction change=7.5 deg; rate A-C=3.14, C-B=3.33 arcsec/day; C pred. err=3.51 arcsec; flux CV=0.31; nearest Gaia/SIMBAD coincidence 0.56 arcsec at epoch A (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
18,3EPOCH-014,63.80005207275756,73.65470800943574,11.208782330762734,100.0,0.96114406027828,0.927100506287868,0.1816848930888248,0.6686836575337405,6.994069149909592,2.9117911934652287,3.140750300228083,3.2732604276447006,0.3313163424662594,Known,0.4483512932305094,C,True,Unmatched,"direction change=7.0 deg; rate A-C=2.91, C-B=3.14 arcsec/day; C pred. err=3.27 arcsec; flux CV=0.33; nearest Gaia/SIMBAD coincidence 0.45 arcsec at epoch C (1 of 3 epochs only); no match in the 19-body JPL Horizons SSO check"
