track_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,C_gate_arcsec,motion_significance_chi2,flux_A,flux_C,flux_B,A_class,C_class,B_class,A_counterpart_epochs,C_counterpart_epochs,B_counterpart_epochs,passes_fixed_4arcsec_C_gate,rejection_reason,rejection_detail
REJ-0001,18995,16396,19991,156.57566171838172,-43.41738828268953,156.57679278279414,-43.418088949115855,156.57775778442388,-43.41860574616627,7.0178872528849015,0.22756377130169422,0.19304558697691285,2.126434786049085,104.08305419454521,58.52017878446244,142.1457416266525,72.91987190459945,BLEND_FRAGMENT,BLEND_FRAGMENT,BLEND_FRAGMENT,,,,True,BLEND_MISLINK,0 stationary + 3 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0002,26804,24441,28110,154.50512155094603,-43.388710767530384,154.50644570270282,-43.389276930710615,154.50726951453842,-43.38981723324208,6.887936075413743,0.2233499418449334,0.3435248337069683,2.1260523344960074,100.26410236369455,54.19405502692915,132.47201522107562,57.24732502984395,BLEND_FRAGMENT,STATIONARY,BLEND_FRAGMENT,,B,,True,BLEND_MISLINK,1 stationary + 2 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0003,20658,18089,21720,153.15284255495192,-42.09283401891059,153.15184945061978,-42.09207928831728,153.15089470238237,-42.0916269844304,6.77930686207333,0.21982750374205298,0.4029857712950397,2.125738067907703,97.12652240074739,73.36021684096973,173.44188687212986,74.09289194744684,BLEND_FRAGMENT,STATIONARY,BLEND_FRAGMENT,,B,,True,BLEND_MISLINK,1 stationary + 2 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0004,13193,10346,13899,156.596613504895,-42.74247240261758,156.5950467432388,-42.741513032829495,156.59369842890882,-42.741049774409205,9.253668768528495,0.3000617831922849,0.5854690780822015,2.1469018705399243,175.76494640223544,65.35514813147299,120.85094538257518,85.40649285929194,BLEND_FRAGMENT,BLEND_FRAGMENT,STATIONARY,,,A,True,BLEND_MISLINK,1 stationary + 2 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0005,32673,30455,34206,155.3084152575931,-44.37118446476163,155.30744483336474,-44.370811201195316,155.30618014161854,-44.370351617789545,6.486362354502987,0.21032841170442854,0.8937237315592738,2.1447429815897516,83.94651492209687,86.6351520201022,188.22933262538706,89.03879331351564,BLEND_FRAGMENT,STATIONARY,BLEND_FRAGMENT,,A,,True,BLEND_MISLINK,1 stationary + 2 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0006,33617,31390,35165,153.54641552857728,-43.6908627754678,153.5482729636926,-43.6909667035618,153.5490496669661,-43.69111778093244,6.918034892316413,0.22432593362697226,0.906615361499804,2.3137705467562326,87.86553085135974,4.277102965000357,3.6404545041721272,4.254719761669792,BLEND_FRAGMENT,BLEND_FRAGMENT,STATIONARY,,,C,True,BLEND_MISLINK,1 stationary + 2 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0007,24937,22548,26177,156.25390182999286,-43.95220806523186,156.25499655562984,-43.952676351243184,156.25566805561292,-43.95345058911666,6.4001521751668555,0.20753293881816057,0.9090582750560918,2.1246799723849232,86.56610053432665,67.4971228684455,142.90505686911678,63.13784521407764,BLEND_FRAGMENT,BLEND_FRAGMENT,BLEND_FRAGMENT,,,,True,BLEND_MISLINK,0 stationary + 3 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0008,22240,19736,23360,154.67564307576532,-42.961887427153876,154.6765825402556,-42.962359705534396,154.67782459057065,-42.962994418539395,6.993671592382054,0.22677854822386204,1.0175646068473032,2.1263629817325915,103.3660032230048,58.328753274220354,140.2140084020846,58.88013108411331,BLEND_FRAGMENT,STATIONARY,BLEND_FRAGMENT,,A,,True,BLEND_MISLINK,1 stationary + 2 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0009,31617,29342,33068,153.87006652274653,-43.62261006632736,153.87198566267145,-43.623291301712996,153.87373905558002,-43.62332975395205,9.915192621149997,0.3215125214677811,1.0852791730648494,2.362788346015588,162.36691311459893,2.5904045547559105,3.466456016965385,2.18419438452869,BLEND_FRAGMENT,BLEND_FRAGMENT,BLEND_FRAGMENT,,,,True,BLEND_MISLINK,0 stationary + 3 blend-fragment detection(s): the path is built from detections around persistent sources
REJ-0010,29196,26905,30612,155.93557120222422,-44.27270599226295,155.9341716259102,-44.273202774194964,155.93366721902837,-44.27404427640958,6.877366070876214,0.22300719622811727,1.257347804050216,2.145839042847699,94.37230040165066,9.146585867858825,12.009618195932944,9.323233207088919,BLEND_FRAGMENT,BLEND_FRAGMENT,BLEND_FRAGMENT,,,,True,BLEND_MISLINK,0 stationary + 3 blend-fragment detection(s): the path is built from detections around persistent sources
