uri,time_bounds_lower,energy_bandpassname
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0073_1D3_spx_l2b-v20-2025-247.fits,60803.966890,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0073_2D3_spx_l2b-v20-2025-247.fits,60803.968383,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0073_3D3_spx_l2b-v20-2025-247.fits,60803.969875,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0073_4D3_spx_l2b-v20-2025-247.fits,60803.971367,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0166_1D3_spx_l2b-v20-2025-247.fits,60804.578679,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0166_2D3_spx_l2b-v20-2025-247.fits,60804.580171,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0166_3D3_spx_l2b-v20-2025-247.fits,60804.581663,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W19_2B/l2b-v20-2025-247/3/level2_2025W19_2B_0166_4D3_spx_l2b-v20-2025-247.fits,60804.583156,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W22_1B/l2b-v20-2025-250/3/level2_2025W22_1B_0226_1D3_spx_l2b-v20-2025-250.fits,60822.308959,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W22_1B/l2b-v20-2025-250/3/level2_2025W22_1B_0226_2D3_spx_l2b-v20-2025-250.fits,60822.310451,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W22_1B/l2b-v20-2025-250/3/level2_2025W22_1B_0226_3D3_spx_l2b-v20-2025-250.fits,60822.311944,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W22_1B/l2b-v20-2025-250/3/level2_2025W22_1B_0226_4D3_spx_l2b-v20-2025-250.fits,60822.313436,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W23_2B/l2b-v20-2025-252/3/level2_2025W23_2B_0728_2D3_spx_l2b-v20-2025-252.fits,60834.948026,SPHEREx-D3
ibe/data/spherex/qr2/level2/2025W24_1A/l2b-v20-2025-252/3/level2_2025W24_1A_0040_4D3_spx_l2b-v20-2025-252.fits,60835.152589,SPHEREx-D3
